Cell_Quality	Metadata_dataset_split	cell_count
Perfect	ALLBATCHES___ALLPLATES___ALLWELLS	8177386
Great	ALLBATCHES___ALLPLATES___ALLWELLS	3033972
Imperfect	ALLBATCHES___ALLPLATES___ALLWELLS	1832851
Bad	ALLBATCHES___ALLPLATES___ALLWELLS	7219422
Empty	ALLBATCHES___ALLPLATES___ALLWELLS	6523393
