Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Empty	3638	CP186A-Well3-75	CP186A	Well3	75	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2244	CP186A-Well3-75	CP186A	Well3	75	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1130	CP186A-Well3-75	CP186A	Well3	75	ALLBATCHES___ALLPLATES___ALLWELLS
Great	885	CP186A-Well3-75	CP186A	Well3	75	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	188	CP186A-Well3-75	CP186A	Well3	75	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	930	CP186A-Well5-19	CP186A	Well5	19	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	859	CP186A-Well5-19	CP186A	Well5	19	ALLBATCHES___ALLPLATES___ALLWELLS
Great	412	CP186A-Well5-19	CP186A	Well5	19	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	356	CP186A-Well5-19	CP186A	Well5	19	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	300	CP186A-Well5-19	CP186A	Well5	19	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	8654	CP186A-Well4-47	CP186A	Well4	47	ALLBATCHES___ALLPLATES___ALLWELLS
Great	785	CP186A-Well4-47	CP186A	Well4	47	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	680	CP186A-Well4-47	CP186A	Well4	47	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	188	CP186A-Well4-47	CP186A	Well4	47	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	9	CP186A-Well4-47	CP186A	Well4	47	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	7171	CP186A-Well1-59	CP186A	Well1	59	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1582	CP186A-Well1-59	CP186A	Well1	59	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1264	CP186A-Well1-59	CP186A	Well1	59	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	589	CP186A-Well1-59	CP186A	Well1	59	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	75	CP186A-Well1-59	CP186A	Well1	59	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	4800	CP186A-Well5-55	CP186A	Well5	55	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2355	CP186A-Well5-55	CP186A	Well5	55	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	847	CP186A-Well5-55	CP186A	Well5	55	ALLBATCHES___ALLPLATES___ALLWELLS
Great	725	CP186A-Well5-55	CP186A	Well5	55	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	102	CP186A-Well5-55	CP186A	Well5	55	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1287	CP186A-Well4-83	CP186A	Well4	83	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	904	CP186A-Well4-83	CP186A	Well4	83	ALLBATCHES___ALLPLATES___ALLWELLS
Great	599	CP186A-Well4-83	CP186A	Well4	83	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	552	CP186A-Well4-83	CP186A	Well4	83	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	436	CP186A-Well4-83	CP186A	Well4	83	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	4653	CP186A-Well2-67	CP186A	Well2	67	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1983	CP186A-Well2-67	CP186A	Well2	67	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	704	CP186A-Well2-67	CP186A	Well2	67	ALLBATCHES___ALLPLATES___ALLWELLS
Great	650	CP186A-Well2-67	CP186A	Well2	67	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	68	CP186A-Well2-67	CP186A	Well2	67	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1872	CP186A-Well1-95	CP186A	Well1	95	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1727	CP186A-Well1-95	CP186A	Well1	95	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1215	CP186A-Well1-95	CP186A	Well1	95	ALLBATCHES___ALLPLATES___ALLWELLS
Great	810	CP186A-Well1-95	CP186A	Well1	95	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	453	CP186A-Well1-95	CP186A	Well1	95	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3135	CP186A-Well3-39	CP186A	Well3	39	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2536	CP186A-Well3-39	CP186A	Well3	39	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1503	CP186A-Well3-39	CP186A	Well3	39	ALLBATCHES___ALLPLATES___ALLWELLS
Great	814	CP186A-Well3-39	CP186A	Well3	39	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	257	CP186A-Well3-39	CP186A	Well3	39	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	297	CP186A-Well3-93	CP186A	Well3	93	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	166	CP186A-Well3-93	CP186A	Well3	93	ALLBATCHES___ALLPLATES___ALLWELLS
Great	140	CP186A-Well3-93	CP186A	Well3	93	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	104	CP186A-Well3-93	CP186A	Well3	93	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	94	CP186A-Well3-93	CP186A	Well3	93	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5457	CP186A-Well5-37	CP186A	Well5	37	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2138	CP186A-Well5-37	CP186A	Well5	37	ALLBATCHES___ALLPLATES___ALLWELLS
Great	643	CP186A-Well5-37	CP186A	Well5	37	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	576	CP186A-Well5-37	CP186A	Well5	37	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	58	CP186A-Well5-37	CP186A	Well5	37	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3774	CP186A-Well4-65	CP186A	Well4	65	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1174	CP186A-Well4-65	CP186A	Well4	65	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1006	CP186A-Well4-65	CP186A	Well4	65	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	678	CP186A-Well4-65	CP186A	Well4	65	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	174	CP186A-Well4-65	CP186A	Well4	65	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3542	CP186A-Well2-49	CP186A	Well2	49	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2803	CP186A-Well2-49	CP186A	Well2	49	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1447	CP186A-Well2-49	CP186A	Well2	49	ALLBATCHES___ALLPLATES___ALLWELLS
Great	844	CP186A-Well2-49	CP186A	Well2	49	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	236	CP186A-Well2-49	CP186A	Well2	49	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	4790	CP186A-Well1-77	CP186A	Well1	77	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1750	CP186A-Well1-77	CP186A	Well1	77	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1139	CP186A-Well1-77	CP186A	Well1	77	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	632	CP186A-Well1-77	CP186A	Well1	77	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	122	CP186A-Well1-77	CP186A	Well1	77	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1612	CP186A-Well5-73	CP186A	Well5	73	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1432	CP186A-Well5-73	CP186A	Well5	73	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	610	CP186A-Well5-73	CP186A	Well5	73	ALLBATCHES___ALLPLATES___ALLWELLS
Great	553	CP186A-Well5-73	CP186A	Well5	73	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	434	CP186A-Well5-73	CP186A	Well5	73	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1881	CP186A-Well2-85	CP186A	Well2	85	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1869	CP186A-Well2-85	CP186A	Well2	85	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1512	CP186A-Well2-85	CP186A	Well2	85	ALLBATCHES___ALLPLATES___ALLWELLS
Great	948	CP186A-Well2-85	CP186A	Well2	85	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	374	CP186A-Well2-85	CP186A	Well2	85	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1585	CP186A-Well4-29	CP186A	Well4	29	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1388	CP186A-Well4-29	CP186A	Well4	29	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1077	CP186A-Well4-29	CP186A	Well4	29	ALLBATCHES___ALLPLATES___ALLWELLS
Great	682	CP186A-Well4-29	CP186A	Well4	29	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	444	CP186A-Well4-29	CP186A	Well4	29	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	6413	CP186A-Well3-57	CP186A	Well3	57	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2567	CP186A-Well3-57	CP186A	Well3	57	ALLBATCHES___ALLPLATES___ALLWELLS
Great	834	CP186A-Well3-57	CP186A	Well3	57	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	818	CP186A-Well3-57	CP186A	Well3	57	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	76	CP186A-Well3-57	CP186A	Well3	57	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1032	CP186A-Well3-84	CP186A	Well3	84	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1025	CP186A-Well3-84	CP186A	Well3	84	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	607	CP186A-Well3-84	CP186A	Well3	84	ALLBATCHES___ALLPLATES___ALLWELLS
Great	413	CP186A-Well3-84	CP186A	Well3	84	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	263	CP186A-Well3-84	CP186A	Well3	84	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2874	CP186A-Well5-28	CP186A	Well5	28	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2846	CP186A-Well5-28	CP186A	Well5	28	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1712	CP186A-Well5-28	CP186A	Well5	28	ALLBATCHES___ALLPLATES___ALLWELLS
Great	915	CP186A-Well5-28	CP186A	Well5	28	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	317	CP186A-Well5-28	CP186A	Well5	28	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	8362	CP186A-Well4-56	CP186A	Well4	56	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1113	CP186A-Well4-56	CP186A	Well4	56	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	619	CP186A-Well4-56	CP186A	Well4	56	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	289	CP186A-Well4-56	CP186A	Well4	56	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	18	CP186A-Well4-56	CP186A	Well4	56	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5618	CP186A-Well1-68	CP186A	Well1	68	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1457	CP186A-Well1-68	CP186A	Well1	68	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1275	CP186A-Well1-68	CP186A	Well1	68	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	657	CP186A-Well1-68	CP186A	Well1	68	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	115	CP186A-Well1-68	CP186A	Well1	68	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2296	CP186A-Well5-64	CP186A	Well5	64	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1986	CP186A-Well5-64	CP186A	Well5	64	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1452	CP186A-Well5-64	CP186A	Well5	64	ALLBATCHES___ALLPLATES___ALLWELLS
Great	752	CP186A-Well5-64	CP186A	Well5	64	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	299	CP186A-Well5-64	CP186A	Well5	64	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3423	CP186A-Well2-76	CP186A	Well2	76	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1843	CP186A-Well2-76	CP186A	Well2	76	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	889	CP186A-Well2-76	CP186A	Well2	76	ALLBATCHES___ALLPLATES___ALLWELLS
Great	675	CP186A-Well2-76	CP186A	Well2	76	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	102	CP186A-Well2-76	CP186A	Well2	76	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5787	CP186A-Well3-48	CP186A	Well3	48	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2152	CP186A-Well3-48	CP186A	Well3	48	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	728	CP186A-Well3-48	CP186A	Well3	48	ALLBATCHES___ALLPLATES___ALLWELLS
Great	695	CP186A-Well3-48	CP186A	Well3	48	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	64	CP186A-Well3-48	CP186A	Well3	48	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	6739	CP186A-Well5-46	CP186A	Well5	46	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2600	CP186A-Well5-46	CP186A	Well5	46	ALLBATCHES___ALLPLATES___ALLWELLS
Great	747	CP186A-Well5-46	CP186A	Well5	46	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	679	CP186A-Well5-46	CP186A	Well5	46	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	71	CP186A-Well5-46	CP186A	Well5	46	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2761	CP186A-Well4-74	CP186A	Well4	74	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1879	CP186A-Well4-74	CP186A	Well4	74	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1346	CP186A-Well4-74	CP186A	Well4	74	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1204	CP186A-Well4-74	CP186A	Well4	74	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	376	CP186A-Well4-74	CP186A	Well4	74	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	5669	CP186A-Well2-58	CP186A	Well2	58	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2331	CP186A-Well2-58	CP186A	Well2	58	ALLBATCHES___ALLPLATES___ALLWELLS
Great	982	CP186A-Well2-58	CP186A	Well2	58	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	858	CP186A-Well2-58	CP186A	Well2	58	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	75	CP186A-Well2-58	CP186A	Well2	58	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3409	CP186A-Well1-86	CP186A	Well1	86	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2052	CP186A-Well1-86	CP186A	Well1	86	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1323	CP186A-Well1-86	CP186A	Well1	86	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1280	CP186A-Well1-86	CP186A	Well1	86	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	341	CP186A-Well1-86	CP186A	Well1	86	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	301	CP186A-Well5-82	CP186A	Well5	82	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	147	CP186A-Well5-82	CP186A	Well5	82	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	75	CP186A-Well5-82	CP186A	Well5	82	ALLBATCHES___ALLPLATES___ALLWELLS
Great	52	CP186A-Well5-82	CP186A	Well5	82	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	25	CP186A-Well5-82	CP186A	Well5	82	ALLBATCHES___ALLPLATES___ALLWELLS
