Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Bad	1041	CP186A-Well2-94	CP186A	Well2	94	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	863	CP186A-Well2-94	CP186A	Well2	94	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	423	CP186A-Well2-94	CP186A	Well2	94	ALLBATCHES___ALLPLATES___ALLWELLS
Great	408	CP186A-Well2-94	CP186A	Well2	94	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	277	CP186A-Well2-94	CP186A	Well2	94	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	7722	CP186A-Well4-38	CP186A	Well4	38	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1048	CP186A-Well4-38	CP186A	Well4	38	ALLBATCHES___ALLPLATES___ALLWELLS
Great	910	CP186A-Well4-38	CP186A	Well4	38	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	369	CP186A-Well4-38	CP186A	Well4	38	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	27	CP186A-Well4-38	CP186A	Well4	38	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	6441	CP186A-Well3-66	CP186A	Well3	66	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2088	CP186A-Well3-66	CP186A	Well3	66	ALLBATCHES___ALLPLATES___ALLWELLS
Great	717	CP186A-Well3-66	CP186A	Well3	66	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	552	CP186A-Well3-66	CP186A	Well3	66	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	64	CP186A-Well3-66	CP186A	Well3	66	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1047	CP186A-Well2-32	CP186A	Well2	32	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1032	CP186A-Well2-32	CP186A	Well2	32	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	455	CP186A-Well2-32	CP186A	Well2	32	ALLBATCHES___ALLPLATES___ALLWELLS
Great	452	CP186A-Well2-32	CP186A	Well2	32	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	379	CP186A-Well2-32	CP186A	Well2	32	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	3263	CP186A-Well1-60	CP186A	Well1	60	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3219	CP186A-Well1-60	CP186A	Well1	60	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2931	CP186A-Well1-60	CP186A	Well1	60	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1667	CP186A-Well1-60	CP186A	Well1	60	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	626	CP186A-Well1-60	CP186A	Well1	60	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2535	CP186A-Well1-24	CP186A	Well1	24	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	2276	CP186A-Well1-24	CP186A	Well1	24	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1981	CP186A-Well1-24	CP186A	Well1	24	ALLBATCHES___ALLPLATES___ALLWELLS
Great	958	CP186A-Well1-24	CP186A	Well1	24	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	469	CP186A-Well1-24	CP186A	Well1	24	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	258	CP186A-Well4-12	CP186A	Well4	12	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	156	CP186A-Well4-12	CP186A	Well4	12	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	109	CP186A-Well4-12	CP186A	Well4	12	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	107	CP186A-Well4-12	CP186A	Well4	12	ALLBATCHES___ALLPLATES___ALLWELLS
Great	101	CP186A-Well4-12	CP186A	Well4	12	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2672	CP186A-Well3-40	CP186A	Well3	40	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2538	CP186A-Well3-40	CP186A	Well3	40	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1663	CP186A-Well3-40	CP186A	Well3	40	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1003	CP186A-Well3-40	CP186A	Well3	40	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	608	CP186A-Well3-40	CP186A	Well3	40	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	3193	CP186A-Well2-50	CP186A	Well2	50	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	3143	CP186A-Well2-50	CP186A	Well2	50	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1951	CP186A-Well2-50	CP186A	Well2	50	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1217	CP186A-Well2-50	CP186A	Well2	50	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	752	CP186A-Well2-50	CP186A	Well2	50	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1033	CP186A-Well3-22	CP186A	Well3	22	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	706	CP186A-Well3-22	CP186A	Well3	22	ALLBATCHES___ALLPLATES___ALLWELLS
Great	421	CP186A-Well3-22	CP186A	Well3	22	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	376	CP186A-Well3-22	CP186A	Well3	22	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	337	CP186A-Well3-22	CP186A	Well3	22	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1962	CP186A-Well2-14	CP186A	Well2	14	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1890	CP186A-Well2-14	CP186A	Well2	14	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1011	CP186A-Well2-14	CP186A	Well2	14	ALLBATCHES___ALLPLATES___ALLWELLS
Great	946	CP186A-Well2-14	CP186A	Well2	14	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	645	CP186A-Well2-14	CP186A	Well2	14	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2002	CP186A-Well1-42	CP186A	Well1	42	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1435	CP186A-Well1-42	CP186A	Well1	42	ALLBATCHES___ALLPLATES___ALLWELLS
Great	587	CP186A-Well1-42	CP186A	Well1	42	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	546	CP186A-Well1-42	CP186A	Well1	42	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	425	CP186A-Well1-42	CP186A	Well1	42	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	504	CP186A-Well4-30	CP186A	Well4	30	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	358	CP186A-Well4-30	CP186A	Well4	30	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	181	CP186A-Well4-30	CP186A	Well4	30	ALLBATCHES___ALLPLATES___ALLWELLS
Great	154	CP186A-Well4-30	CP186A	Well4	30	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	103	CP186A-Well4-30	CP186A	Well4	30	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1038	CP186A-Well3-4	CP186A	Well3	4	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	750	CP186A-Well3-4	CP186A	Well3	4	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	361	CP186A-Well3-4	CP186A	Well3	4	ALLBATCHES___ALLPLATES___ALLWELLS
Great	304	CP186A-Well3-4	CP186A	Well3	4	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	256	CP186A-Well3-4	CP186A	Well3	4	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	915	CP186A-Well2-41	CP186A	Well2	41	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	890	CP186A-Well2-41	CP186A	Well2	41	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	726	CP186A-Well2-41	CP186A	Well2	41	ALLBATCHES___ALLPLATES___ALLWELLS
Great	413	CP186A-Well2-41	CP186A	Well2	41	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	353	CP186A-Well2-41	CP186A	Well2	41	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1233	CP186A-Well3-13	CP186A	Well3	13	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	978	CP186A-Well3-13	CP186A	Well3	13	ALLBATCHES___ALLPLATES___ALLWELLS
Great	496	CP186A-Well3-13	CP186A	Well3	13	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	451	CP186A-Well3-13	CP186A	Well3	13	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	379	CP186A-Well3-13	CP186A	Well3	13	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2458	CP186A-Well1-33	CP186A	Well1	33	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	2413	CP186A-Well1-33	CP186A	Well1	33	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1331	CP186A-Well1-33	CP186A	Well1	33	ALLBATCHES___ALLPLATES___ALLWELLS
Great	1038	CP186A-Well1-33	CP186A	Well1	33	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	619	CP186A-Well1-33	CP186A	Well1	33	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1265	CP186A-Well1-6	CP186A	Well1	6	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1220	CP186A-Well1-6	CP186A	Well1	6	ALLBATCHES___ALLPLATES___ALLWELLS
Great	443	CP186A-Well1-6	CP186A	Well1	6	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	352	CP186A-Well1-6	CP186A	Well1	6	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	334	CP186A-Well1-6	CP186A	Well1	6	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	2092	CP186A-Well1-15	CP186A	Well1	15	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1841	CP186A-Well1-15	CP186A	Well1	15	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	1115	CP186A-Well1-15	CP186A	Well1	15	ALLBATCHES___ALLPLATES___ALLWELLS
Great	765	CP186A-Well1-15	CP186A	Well1	15	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	515	CP186A-Well1-15	CP186A	Well1	15	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	202	CP186A-Well4-3	CP186A	Well4	3	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	171	CP186A-Well4-3	CP186A	Well4	3	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	87	CP186A-Well4-3	CP186A	Well4	3	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	82	CP186A-Well4-3	CP186A	Well4	3	ALLBATCHES___ALLPLATES___ALLWELLS
Great	72	CP186A-Well4-3	CP186A	Well4	3	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	291	CP186A-Well3-31	CP186A	Well3	31	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	146	CP186A-Well3-31	CP186A	Well3	31	ALLBATCHES___ALLPLATES___ALLWELLS
Imperfect	82	CP186A-Well3-31	CP186A	Well3	31	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	69	CP186A-Well3-31	CP186A	Well3	31	ALLBATCHES___ALLPLATES___ALLWELLS
Great	66	CP186A-Well3-31	CP186A	Well3	31	ALLBATCHES___ALLPLATES___ALLWELLS
Bad	1332	CP186A-Well2-23	CP186A	Well2	23	ALLBATCHES___ALLPLATES___ALLWELLS
Perfect	1314	CP186A-Well2-23	CP186A	Well2	23	ALLBATCHES___ALLPLATES___ALLWELLS
Empty	773	CP186A-Well2-23	CP186A	Well2	23	ALLBATCHES___ALLPLATES___ALLWELLS
